id,scenario,system,verb,process,object,additional-details,category,complete-requirement,code,indicator-example,relation-to-theory,related-concepts,memo
TI03,s2,dashboard,may,contain,a dedicated widget for technical debt,-,tool usage/tool interface,The dashboard may contain a dedicated widget for technical debt,2-widget is useful,A widget in the existent dashboard would be better to preserve an holistic view of the software statistics.,,,
INF03,s2,dashboard,may,present,a list of smells grouped by type.,-,information to be provided/detailed information,The dashboard may present a list of smells grouped by type.,2-group smells by type,"maybe a classification of which types of code smells are more common in each repository,",explained by,Clustering Problems,
INF04,s2,dashboard,may,present,the time since an issue was open.,-,information to be provided/detailed information,The dashboard may present the time since an issue was open.,2-issue age,Time since the issue was open,,,
INF05,s2,dedicated technical debt dashboard,may,present,the business impact of technical debt.,-,information to be provided/grouped information,The dedicated technical debt dashboard may present the business impact of technical debt.,2-business impact of td should be present in a dedicated td dashboard,I think you need to provide a true cost/time impact of the smell. Money/time is the only thing that where I am employeed.,,,
INF06,s2,dedicated technical debt dashboard,may,present,the severity of technical debt.,-,information to be provided/detailed information,The dedicated technical debt dashboard may present the severity of technical debt.,2-severity of td should be present in a dedicated td dashboard,,,,
TU07,s2,dashboard,may,provide,a customization option to select which projects/files to present information about.,-,tool usage/customization,The dashboard may provide a customization option to select which projects/files to present information about.,2-customization options are necessary,but you could filter by an specific project,,,
INF07,s2,dashboard,may,present,the evolution of the metrics provided by linters.,-,information to be provided/grouped information,The dashboard may present the evolution of the metrics provided by linters.,2-presenting results over time is useful,"linter results over time, which is nice to have.",,,
INF08,s2,dedicated technical debt dashboard,may,present,the time since a techincal debt item was inserted in a project.,,information to be provided/detailed information,The dedicated technical debt dashboard may present the time since a techincal debt item was inserted in a project.,2-td age should be present in a dedicated td dashboard,knowing how long that technical debt is pending,,,
INF09,s2,dashboard,may,present,a list of issues grouped by reporter.,-,information to be provided/detailed information,The dashboard may present a list of issues grouped by reporter.,2-group issues by reporter,group them by reporter,explained by,Clustering Problems,
INF10,s2,dedicated technical debt dashboard,may,present,a list of technical debt items grouped by type.,,information to be provided/detailed information,The dedicated technical debt dashboard may present a list of technical debt items grouped by type.,2-group td items by type,"as a developer i would like to see which debts are most common,",explained by,Clustering Problems,
INF11,s2,dashboard,may,present,test code coverage combined with the amount of issues containing technical debt,-,information to be provided/grouped information,The dashboard may present test code coverage combined with the amount of issues containing technical debt,2-test code coverage could be combined with the amounts of issues with td,Test code coverage,,,
TU08,s3,refactoring plugin,may,enable,manually-trggered execution,-,tool usage/tool execution/manual execution,The refactoring plugin may enable manually-trggered execution,3-manual trigger is the preference,at my own discretion... I just prefer to execute by myself,explained by,Keep the Control,
TU09,s3,refactoring plugin,may,provide,refactoring suggestion at commit time,-,tool usage/tool execution/workflow execution,The refactoring plugin may provide refactoring suggestion at commit time,3-suggestions at commit time,This could be something that happens before committing,explained by,Workflow Consistency,
INF12,s3,refactoring plugin,may,inform,the impact of refactoring suggestions on legacy systems,-,information to be provided/grouped information,The refactoring plugin may inform the impact of refactoring suggestions on legacy systems,3-refactoring suggestions must to consider the impact on legacy systems,"It should consider the impact on refactoring, specially for legacy systems",,,
TI04,s3,refactoring plugin,may,present,refactoring suggestions within the IDE interface.,-,tool usage/tool interface,The refactoring plugin may present refactoring suggestions within the IDE interface.,3-show suggestions in the ide gui,"I'd make these suggestions show up as a wiggly line below the affected code with the ""auto fix"" action being the patch application.",explained by,Workflow Consistency,
TI05,s4,ci-script,may,send,notification using instant message services,,tool usage/tool interface,The ci-script may send notification using instant message services,4-instant message could be used for notificaitons,Showing the stats in slack channels (very often used by companies) is useful as well.,related to,Sensorial Notificaiton Load,
INF13,s4,ci-script,may,send,a report containig the evolution of quality metrics.,,information to be provided/grouped information,The ci-script may send a report containig the evolution of quality metrics.,4-evolution of quality metrics,"More than time, it would be desirable to see the evolution of the numbers over time to show progress/degradation of the software.",related to,Clustering Problems,
TU10,s4,ci-script,may,send,notifications to practitioners based on a threshold.,,tool usage/tool execution/threshold execution,The ci-script may send notifications to practitioners based on a threshold.,4-notifications should be sent based on a threshold,I need to consider emails I'd appreciate a setup in which I get an email after a threshold for a project I'm interested in is breached,related to,Sensorial Notificaiton Load,
TU11,s4,ci-script,may,send,notifications to practitioners after each CI-Cycle.,,tool usage/tool execution/workflow execution,The ci-script may send notifications to practitioners after each CI-Cycle.,4-notification after each ci cyle,After each CI run a report could be sent,,,
INF14,s4,ci-script,may,send,the summary of the data presented report.,,information to be provided/grouped information,The ci-script may send the summary of the data presented report.,4-summary of data presented in the commiunication,A summary of data presented in the report,,,
TI06,s4,ci-script,may,send,notification using mailing lists,,tool usage/tool interface,The ci-script may send notification using mailing lists,4-mailing lists are good channels,"None, mailing lists are flexible enough",,,
TI07,s4,ci-script,may,present,qaulity metrics using a CI Job Dashboard.,,tool usage/tool interface,The ci-script may present qaulity metrics using a CI Job Dashboard.,4-dashboard,CI job dashboard,,,
INF15,s4,ci-script,may,include,the amount of code smells in a project into the report.,,information to be provided/grouped information,The ci-script may include the amount of code smells in a project into the report.,4-number of code smells,quantity of code smells,,,
INF16,s4,ci-script,may,include,the metric that triggered a certain report.,,information to be provided/detailed information,The ci-script may include the metric that triggered a certain report.,4-metric that triggered the alert,"The metric that triggered the alert, current value and threshold,",,,
TI08,s4,ci-script,may,send,notifications to practitioners using pull requests messages,,tool usage/tool interface,The ci-script may send notifications to practitioners using pull requests messages,4-comments in prs are a good channel for communication,The bot should comment on the PR directly.,,,
TU12,s5,code review bot,may,notify,the tech lead/architect about the code smells in a code patch.,,tool usage/tool execution/workflow execution,The code review bot may notify the tech lead/architect about the code smells in a code patch.,5-tech lead/architect,Tech Lead or Software Architect for follow-up and guidance,,,
INF17,s5,code review bot,may,provide,additional information that helps solving the code smells in a new code patch.,,information to be provided/detailed information,The code review bot may provide additional information that helps solving the code smells in a new code patch.,5-additional informaiton to help solving the issue,The warning should include additional info that helps to resolve an issue.,,,
INF18,s5,code review bot,may,provide,the feature or user story number in the report about code smells in a new code patch.,,information to be provided/detailed information,The code review bot may provide the feature or user story number in the report about code smells in a new code patch.,5-feature or number story,The feature or user story number.,,,
INF19,s5,code review bot,may,provide,the number of code smells in the files before the PR with a new code patch.,,information to be provided/grouped information,The code review bot may provide the number of code smells in the files before the PR with a new code patch.,5-number of code smells before PR,"Possibly, how many code smells were present before the PR so that the reviwer can understand if they were introduced by the PR or not.",,,
TU13,s5,code review bot,may,notify,the contributors of a certain module about code smells in a new code patch.,,tool usage/tool execution/workflow execution,The code review bot may notify the contributors of a certain module about code smells in a new code patch.,5-notifies contributors to a specific module,It can notify the people that have contributed the code that the contributor wants to modify.,,,
TU14,s5,code review bot,may,notify,the commit author about code smells in a new code patch.,,tool usage/tool execution/workflow execution,The code review bot may notify the commit author about code smells in a new code patch.,5-notify commit author,The commit author,,,
INF20,s5,code review bot,may,include,links to the code smells in a new code patch.,,information to be provided/detailed information,The code review bot may include links to the code smells in a new code patch.,5-link to facilitate navigation,Maybe have a link for each smells for easier navigation.,,,
TU15,s5,code review bot,may,provide,a command mark code smells as false prositives in a new code patch,,tool usage/customization,The code review bot may provide a command mark code smells as false prositives in a new code patch,5-command:mark code smells as false positives,like marking them as false positives.,,,
INF21,s5,code review bot,may,provide,long-term impact of code smells in a new code patch,,information to be provided/grouped information,The code review bot may provide long-term impact of code smells in a new code patch,5-long-term impact,Much clearer information about the long term problems with the smells.,,,
TU16,s5,code review bot,may,provide,a command for ignoring warnings about code smells in a new code patch.,,tool usage/customization,The code review bot may provide a command for ignoring warnings about code smells in a new code patch.,5-command suggestion,"Postpone, ignore.",,,
INF22,s5,code review bot,may,provide,a warn containing the standards set by the team.,,information to be provided/detailed information,The code review bot may provide a warn containing the standards set by the team.,5-the warn should include standards,To follow the standards set by the team,,,
