scenario;id;education;experience;role
s5;s5_r3;Bachelor;1 - 5 years;Software Developer
s5;s5_r4;Bachelor;more than 10 years;Software Developer
s5;s5_r5;Master;1 - 5 years;Software Developer
s5;s5_r6;Master;more than 10 years;Software Developer
s5;s5_r7;Master;more than 10 years;Software Developer
s5;s5_r8;Bachelor;more than 10 years;Software Developer
s5;s5_r9;Master;more than 10 years;Software Developer
s5;s5_r10;Master;more than 10 years;Software Developer
s5;s5_r11;PhD;1 - 5 years;Software Developer
s5;s5_r12;Master;more than 10 years;Project Manager
s5;s5_r13;Bachelor;more than 10 years;Software Developer
s5;s5_r14;PhD;6 - 10 years;Software Architect/Designer
s5;s5_r15;PhD;more than 10 years;Software Architect/Designer
s5;s5_r16;Bachelor;more than 10 years;System Architect
s5;s5_r17;High certificate;more than 10 years;Software Developer
s5;s5_r18;Bachelor;1 - 5 years;Software Developer
s5;s5_r19;Bachelor;1 - 5 years;Software Developer
s5;s5_r20;Unfinished bachelor;more than 10 years;Engineering Manager
s5;s5_r21;Bachelor;1 - 5 years;Software Developer
s5;s5_r22;Bachelor;6 - 10 years;Software Developer
s5;s5_r23;Bachelor;6 - 10 years;Software Developer
